"","subcategory_id","category_id","article_id","author_id","name.x","title","year","name.y","name"
"1",3694,877,7719,13687,"Frank J. Babel","Simulation - Striving to Reach Its Full Potential",1986,"Keynote Address",""
"2",3694,877,8118,11929,"A. Alan B. Pritsker","Why Simulation Works",1989,"Keynote Address",""
"3",3694,877,8265,11619,"Philip J. Kiviat","Simulation, Technology, and the Decision Process",1990,"Keynote Address",""
"4",3694,877,7984,11663,"Julian Reitman","A Concise History of the Ups and Downs of Simulation",1988,"Keynote Address",""
"5",3694,877,8770,14887,"John D. Salt","Simulation Should be Easy and Fun",1993,"Keynote Address",""
"6",3694,877,8976,15146,"J. Weinstein","Keynote Address: Resolved; To Make Customer Focus More Than a Simulation",1994,"Keynote Address",""
"7",3694,877,9193,15572,"Jerry O. Tuttle","The Art of the Possible",1995,"Keynote Address",""
"8",3694,877,8425,14477,"Thomas Cook","Simulation Applications at American Airlines",1991,"Keynote Address",""
"9",3694,878,6285,11611,"George S. Fishman","Estimating Reliability in Simulation Experiments",1968,"Statistical Considerations",""
"10",3694,877,6284,11610,"John E. Snyder","Why is Top Management Difficult to Convince?",1968,"Keynote Address",""
"11",3694,878,6286,11612,"A.L. Frank","The Use of Experimental Design Techniques in Simulation",1968,"Statistical Considerations",""
"12",3694,877,7176,12957,"K. D. Tocher","Keynote Address",1979,"Keynote Address",""
"13",3694,878,6287,11613,"Irwin W. Kabak","Stopping Rules for Queueing Simulations: Non Independent Tours",1968,"Statistical Considerations",""
"14",3694,879,6290,11617,"Bjorn Myhrhaug","Some Features of the SIMULA 67 Language",1968,"New Language Developments",""
"15",3694,877,7513,12434,"Robert E. Shannon","Artificial Intelligence and Simulation",1984,"Keynote Address",""
"16",3694,878,6288,11614,"Michael J. Gilman","A Brief Survey of Stopping Rules in Monte Carlo Simulations",1968,"Statistical Considerations",""
"17",3694,879,6292,11620,"Martin Goldberg","SPURT - A Simulation Package for University Research and Teaching",1968,"New Language Developments",""
"18",3694,879,6290,11618,"Kristen Nygaard","Some Features of the SIMULA 67 Language",1968,"New Language Developments",""
"19",3694,879,6292,11621,"Benjamin Mittman","SPURT - A Simulation Package for University Research and Teaching",1968,"New Language Developments",""
"20",3694,880,6293,11623,"E.D. Katz","Technical Note for SIMSCRIPT Users",1968,"Simulation Tutorial",""
"21",3694,880,6293,11624,"D.B. Townsend","Technical Note for SIMSCRIPT Users",1968,"Simulation Tutorial",""
"22",3694,880,6293,11622,"W.V. Neisius","Technical Note for SIMSCRIPT Users",1968,"Simulation Tutorial",""
"23",3694,878,6289,11615,"Harry Felder","The GPS/360 Random Number Generator",1968,"Statistical Considerations",""
"24",3694,881,6296,11627,"A.G. Beged Dov","Production Programming by Reverse Curve Analysis",1968,"Corporate and Financial Models",""
